2014-10-28 00:26:22,222 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:26:22,223 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:26:22,224 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:26:22,225 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:26:48,356 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:26:48,357 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:26:48,358 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:26:48,359 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:27:52,283 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:27:52,284 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:27:52,285 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:27:52,286 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:27:55,870 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:27:55,870 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:27:55,872 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:27:55,872 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:28:16,689 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:28:16,689 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:28:16,691 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:28:16,691 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:28:21,583 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:28:21,585 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:28:21,586 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:28:21,586 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:28:29,975 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:28:29,975 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:28:29,976 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:28:29,977 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:30:57,623 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:30:57,623 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:30:57,624 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:30:57,624 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:31:08,794 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:31:08,795 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:31:08,796 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:31:08,796 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:31:15,159 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:31:15,160 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:31:15,161 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
